Delivered_On_Time,Delay_Status,Delay_Binary,Customer_rating,Customer_care_calls,Discount_offered,Weight_in_gms,Weight_Discount,HighDiscount_LowRating,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium
1,On Time,0,2,4,44,1233,54252,1,0,0,1,0,0,0,1,0
1,On Time,0,5,4,59,3088,182192,0,0,0,0,1,0,0,1,0
1,On Time,0,2,2,48,3374,161952,1,0,0,0,0,0,0,1,0
1,On Time,0,3,3,10,1177,11770,0,1,0,0,0,0,0,0,1
1,On Time,0,2,2,46,2484,114264,1,0,1,0,0,0,0,0,1
1,On Time,0,1,3,12,1417,17004,0,0,0,0,1,0,0,0,1
1,On Time,0,4,3,3,2371,7113,0,0,0,1,0,0,0,1,0
1,On Time,0,1,4,48,2804,134592,1,0,0,0,1,0,0,1,0
1,On Time,0,4,3,11,1861,20471,0,0,0,0,0,0,0,1,0
1,On Time,0,2,3,29,1187,34423,0,1,0,0,0,0,0,0,1
1,On Time,0,4,3,12,2888,34656,0,0,1,0,0,0,0,0,1
1,On Time,0,5,4,32,3253,104096,0,0,0,0,1,0,0,0,1
1,On Time,0,5,3,1,3667,3667,0,0,0,1,0,0,0,0,1
1,On Time,0,4,4,29,2602,75458,0,0,0,0,1,0,0,0,0
1,On Time,0,3,4,43,1009,43387,0,0,0,0,0,0,0,1,0
1,On Time,0,3,4,45,2707,121815,0,1,0,0,0,0,0,1,0
1,On Time,0,4,3,6,1194,7164,0,0,1,0,0,0,0,0,1
1,On Time,0,5,5,36,3952,142272,0,0,0,0,1,0,1,0,1
1,On Time,0,5,5,18,2495,44910,0,0,0,1,0,0,1,0,0
1,On Time,0,5,4,45,1059,47655,0,0,0,0,1,0,1,0,1
1,On Time,0,3,3,38,1521,57798,0,0,0,0,0,0,1,0,1
1,On Time,0,1,3,51,2899,147849,1,1,0,0,0,0,1,0,1
1,On Time,0,5,2,2,1750,3500,0,0,1,0,0,0,1,1,0
1,On Time,0,3,4,12,3922,47064,0,0,0,0,1,0,1,0,0
1,On Time,0,5,4,28,3561,99708,0,0,0,1,0,0,1,0,1
1,On Time,0,1,3,29,3496,101384,0,0,0,0,1,0,1,1,0
1,On Time,0,1,4,24,1066,25584,0,0,0,0,0,0,1,0,0
1,On Time,0,1,5,31,1435,44485,1,1,0,0,0,0,1,0,1
1,On Time,0,3,2,44,3134,137896,0,0,1,0,0,0,1,1,0
1,On Time,0,4,5,36,3819,137484,0,0,0,0,1,0,1,1,0
1,On Time,0,4,3,38,2741,104158,0,0,0,1,0,0,1,0,1
1,On Time,0,3,5,61,3341,203801,0,0,0,0,1,0,1,1,0
1,On Time,0,1,3,22,3795,83490,0,0,0,0,0,0,1,1,0
1,On Time,0,2,4,4,3261,13044,0,1,0,0,0,0,1,0,1
1,On Time,0,2,4,22,2460,54120,0,0,1,0,0,0,1,0,1
1,On Time,0,4,5,44,1811,79684,0,0,0,0,1,0,1,0,1
1,On Time,0,5,3,62,1477,91574,0,0,0,1,0,0,1,0,0
1,On Time,0,4,2,16,3605,57680,0,0,0,0,1,0,1,0,1
1,On Time,0,1,5,56,3905,218680,1,0,0,0,0,0,1,1,0
1,On Time,0,2,4,45,2383,107235,1,1,0,0,0,0,1,1,0
1,On Time,0,1,5,15,3798,56970,0,0,1,0,0,0,1,1,0
1,On Time,0,5,5,61,1265,77165,0,0,0,0,1,0,1,0,1
1,On Time,0,5,3,38,1647,62586,0,0,0,1,0,0,1,0,1
1,On Time,0,1,3,44,1556,68464,1,0,0,0,1,0,1,1,0
1,On Time,0,1,3,29,1328,38512,0,0,0,0,0,0,1,1,0
1,On Time,0,1,5,9,2944,26496,0,1,0,0,0,0,1,1,0
1,On Time,0,4,3,32,1245,39840,0,0,1,0,0,0,1,0,1
1,On Time,0,1,5,32,1576,50432,1,0,0,0,1,0,1,1,0
1,On Time,0,4,5,9,3753,33777,0,0,0,1,0,0,1,0,1
1,On Time,0,3,5,40,2146,85840,0,0,0,0,1,0,1,1,0
1,On Time,0,1,4,37,2042,75554,1,0,0,0,0,0,1,1,0
1,On Time,0,4,4,22,1735,38170,0,1,0,0,0,0,1,1,0
1,On Time,0,3,4,44,1320,58080,0,0,1,0,0,0,1,1,0
1,On Time,0,1,2,41,1128,46248,1,0,0,0,1,0,1,1,0
1,On Time,0,3,4,12,3539,42468,0,0,0,1,0,0,1,0,0
1,On Time,0,5,2,46,2437,112102,0,0,0,0,1,0,1,1,0
1,On Time,0,3,3,61,3096,188856,0,0,0,0,0,0,1,1,0
1,On Time,0,3,3,29,3453,100137,0,1,0,0,0,0,1,0,1
1,On Time,0,5,5,41,1367,56047,0,0,1,0,0,0,1,0,0
1,On Time,0,1,4,17,1923,32691,0,0,0,0,1,0,1,0,0
1,On Time,0,1,3,64,2794,178816,1,0,0,1,0,0,1,1,0
1,On Time,0,3,3,52,1158,60216,0,0,0,0,1,0,1,0,1
1,On Time,0,1,5,62,1292,80104,1,0,0,0,0,0,1,0,1
1,On Time,0,1,3,61,1880,114680,1,1,0,0,0,0,1,0,1
1,On Time,0,5,4,49,3045,149205,0,0,1,0,0,0,1,0,0
1,On Time,0,2,3,49,2881,141169,1,0,0,0,1,0,1,1,0
1,On Time,0,2,3,15,1710,25650,0,0,0,1,0,0,1,0,1
1,On Time,0,3,3,6,1878,11268,0,0,0,0,1,0,1,1,0
1,On Time,0,2,4,6,2512,15072,0,0,0,0,0,0,1,0,1
1,On Time,0,5,3,39,2929,114231,0,1,0,0,0,0,1,0,1
1,On Time,0,1,5,14,3849,53886,0,0,1,0,0,0,1,0,0
1,On Time,0,5,5,2,2229,4458,0,0,0,0,1,0,1,1,0
1,On Time,0,5,5,33,2998,98934,0,0,0,1,0,0,1,0,1
1,On Time,0,5,4,21,3984,83664,0,0,0,0,1,0,1,0,1
1,On Time,0,1,6,13,2442,31746,0,0,0,0,0,0,1,1,0
1,On Time,0,1,4,23,3775,86825,0,1,0,0,0,0,1,1,0
1,On Time,0,3,2,36,1788,64368,0,0,1,0,0,0,1,0,1
1,On Time,0,3,3,43,1518,65274,0,0,0,0,1,0,1,1,0
1,On Time,0,4,3,18,3959,71262,0,0,0,1,0,0,1,1,0
1,On Time,0,5,3,56,3711,207816,0,0,0,0,1,0,1,0,1
1,On Time,0,4,3,49,1942,95158,0,0,0,0,0,0,1,0,1
1,On Time,0,5,2,18,1759,31662,0,1,0,0,0,0,1,1,0
1,On Time,0,4,4,26,2875,74750,0,0,1,0,0,0,1,0,0
1,On Time,0,5,5,31,1364,42284,0,0,0,0,1,0,1,0,0
1,On Time,0,5,4,40,2710,108400,0,0,0,1,0,0,1,0,1
1,On Time,0,4,3,13,2148,27924,0,0,0,0,1,0,1,0,1
1,On Time,0,1,4,44,2910,128040,1,0,0,0,0,0,1,1,0
1,On Time,0,2,6,3,2974,8922,0,1,0,0,0,0,1,0,1
1,On Time,0,3,3,49,2339,114611,0,0,1,0,0,0,1,1,0
1,On Time,0,1,4,57,3880,221160,1,0,0,0,1,0,1,0,1
1,On Time,0,3,5,41,1085,44485,0,0,0,1,0,0,1,0,0
1,On Time,0,5,5,18,3163,56934,0,0,0,0,1,0,1,1,0
1,On Time,0,4,4,7,1188,8316,0,0,0,0,0,0,1,0,1
1,On Time,0,3,3,17,3387,57579,0,1,0,0,0,0,1,0,1
1,On Time,0,1,4,35,2343,82005,1,0,1,0,0,0,1,0,0
1,On Time,0,3,2,57,2034,115938,0,0,0,0,1,0,1,1,0
1,On Time,0,3,3,18,1225,22050,0,0,0,1,0,0,1,0,1
1,On Time,0,1,4,8,2401,19208,0,0,0,0,1,0,1,0,1
1,On Time,0,5,3,5,1104,5520,0,0,0,0,0,0,1,0,1
1,On Time,0,2,4,21,1617,33957,0,1,0,0,0,0,1,0,1
1,On Time,0,3,5,59,1837,108383,0,0,1,0,0,0,1,0,1
1,On Time,0,5,5,53,2624,139072,0,0,0,0,1,0,1,1,0
1,On Time,0,1,2,29,2732,79228,0,0,0,1,0,0,1,1,0
1,On Time,0,1,5,37,1658,61346,1,0,0,0,1,0,1,1,0
1,On Time,0,3,3,3,2255,6765,0,0,0,0,0,0,1,1,0
1,On Time,0,2,4,59,1588,93692,1,1,0,0,0,0,1,0,1
1,On Time,0,1,3,17,2624,44608,0,0,1,0,0,0,1,1,0
1,On Time,0,5,4,26,2053,53378,0,0,0,0,1,0,1,0,0
1,On Time,0,5,4,55,3257,179135,0,0,0,1,0,0,1,0,0
1,On Time,0,1,4,47,1250,58750,1,0,0,0,1,0,1,0,1
1,On Time,0,1,3,2,1284,2568,0,0,0,0,0,1,0,1,0
1,On Time,0,2,4,65,3679,239135,1,1,0,0,0,1,0,1,0
1,On Time,0,3,4,25,1816,45400,0,0,1,0,0,1,0,1,0
1,On Time,0,2,3,41,2817,115497,1,0,0,0,1,1,0,1,0
1,On Time,0,5,3,50,1616,80800,0,0,0,1,0,1,0,0,0
1,On Time,0,4,3,36,1779,64044,0,0,0,0,1,1,0,0,0
1,On Time,0,1,4,60,1024,61440,1,0,0,0,0,1,0,0,0
1,On Time,0,3,4,31,2326,72106,0,1,0,0,0,1,0,0,1
1,On Time,0,5,2,5,2947,14735,0,0,1,0,0,1,0,1,0
1,On Time,0,1,5,20,1387,27740,0,0,0,0,1,1,0,1,0
1,On Time,0,2,4,33,2741,90453,1,0,0,1,0,1,0,1,0
1,On Time,0,3,3,19,2167,41173,0,0,0,0,1,1,0,0,1
1,On Time,0,2,4,64,1714,109696,1,0,0,0,0,1,0,1,0
1,On Time,0,3,3,48,2102,100896,0,1,0,0,0,1,0,0,1
1,On Time,0,5,5,10,2280,22800,0,0,1,0,0,1,0,1,0
1,On Time,0,3,3,25,3607,90175,0,0,0,0,1,1,0,1,0
1,On Time,0,5,4,40,3516,140640,0,0,0,1,0,1,0,0,1
1,On Time,0,3,3,60,1722,103320,0,0,0,0,1,1,0,1,0
1,On Time,0,4,4,16,2060,32960,0,0,0,0,0,1,0,0,1
1,On Time,0,5,4,21,2026,42546,0,1,0,0,0,1,0,0,1
1,On Time,0,5,3,17,1364,23188,0,0,1,0,0,1,0,1,0
1,On Time,0,4,3,50,1865,93250,0,0,0,0,1,1,0,1,0
1,On Time,0,2,5,17,3889,66113,0,0,0,1,0,0,0,1,0
1,On Time,0,4,5,51,3582,182682,0,0,0,0,1,0,0,0,1
1,On Time,0,3,3,1,1829,1829,0,0,0,0,0,0,0,0,1
1,On Time,0,5,3,4,1889,7556,0,1,0,0,0,0,0,0,1
1,On Time,0,3,3,51,2208,112608,0,0,1,0,0,0,0,0,1
1,On Time,0,5,3,7,1739,12173,0,0,0,0,1,0,0,0,1
1,On Time,0,1,4,48,2399,115152,1,0,0,1,0,0,0,1,0
1,On Time,0,1,5,10,3860,38600,0,0,0,0,1,0,0,1,0
1,On Time,0,4,4,59,2020,119180,0,0,0,0,0,0,0,0,0
1,On Time,0,4,5,51,1645,83895,0,1,0,0,0,0,0,1,0
1,On Time,0,5,5,41,1462,59942,0,0,1,0,0,0,0,1,0
1,On Time,0,1,2,63,2156,135828,1,0,0,0,1,0,0,0,1
1,On Time,0,1,2,51,1540,78540,1,0,0,1,0,0,0,0,1
1,On Time,0,2,2,46,3707,170522,1,0,0,0,1,0,0,1,0
1,On Time,0,5,3,23,3750,86250,0,0,0,0,0,0,0,1,0
1,On Time,0,3,4,24,1844,44256,0,1,0,0,0,0,0,0,1
1,On Time,0,3,3,56,1490,83440,0,0,1,0,0,0,0,1,0
1,On Time,0,1,5,40,1062,42480,1,0,0,0,1,0,0,1,0
1,On Time,0,4,4,7,2551,17857,0,0,0,1,0,0,0,0,1
1,On Time,0,3,5,44,1269,55836,0,0,0,0,1,0,0,0,1
1,On Time,0,4,3,32,1238,39616,0,0,0,0,0,0,0,1,0
1,On Time,0,3,3,53,3932,208396,0,1,0,0,0,0,0,1,0
1,On Time,0,3,3,8,1869,14952,0,0,1,0,0,0,1,0,1
1,On Time,0,1,5,47,1443,67821,1,0,0,0,1,0,1,1,0
1,On Time,0,3,6,41,2491,102131,0,0,0,1,0,0,1,1,0
1,On Time,0,2,3,39,3845,149955,1,0,0,0,1,0,1,0,1
1,On Time,0,5,5,65,3671,238615,0,0,0,0,0,0,1,0,0
1,On Time,0,3,3,63,1946,122598,0,1,0,0,0,0,1,1,0
1,On Time,0,2,2,56,1138,63728,1,0,1,0,0,0,1,0,1
1,On Time,0,1,3,56,3482,194992,1,0,0,0,1,0,1,0,1
1,On Time,0,1,4,58,3427,198766,1,0,0,1,0,0,1,1,0
1,On Time,0,2,5,6,3375,20250,0,0,0,0,1,0,1,0,1
1,On Time,0,5,3,52,1692,87984,0,0,0,0,0,0,1,1,0
1,On Time,0,3,3,17,1498,25466,0,1,0,0,0,0,1,0,1
1,On Time,0,2,5,34,1020,34680,1,0,1,0,0,0,1,0,0
1,On Time,0,5,4,43,1709,73487,0,0,0,0,1,0,1,1,0
1,On Time,0,2,4,53,2478,131334,1,0,0,1,0,0,1,1,0
1,On Time,0,3,4,28,1809,50652,0,0,0,0,1,0,1,0,1
1,On Time,0,3,4,10,2263,22630,0,0,0,0,0,0,1,0,1
1,On Time,0,4,4,52,1096,56992,0,1,0,0,0,0,1,0,0
1,On Time,0,4,3,56,1550,86800,0,0,1,0,0,0,1,1,0
1,On Time,0,2,3,63,2751,173313,1,0,0,0,1,0,1,1,0
1,On Time,0,3,3,51,3935,200685,0,0,0,1,0,0,1,1,0
1,On Time,0,4,4,3,1285,3855,0,0,0,0,1,0,1,0,1
1,On Time,0,5,4,20,3872,77440,0,0,0,0,0,0,1,0,0
1,On Time,0,5,4,54,1314,70956,0,1,0,0,0,0,1,0,1
1,On Time,0,3,3,2,3995,7990,0,0,1,0,0,0,1,0,1
1,On Time,0,5,5,3,3440,10320,0,0,0,0,1,0,1,0,1
1,On Time,0,1,4,18,1294,23292,0,0,0,1,0,0,1,0,1
1,On Time,0,5,4,20,1487,29740,0,0,0,0,1,0,1,1,0
1,On Time,0,2,3,28,1940,54320,0,0,0,0,0,0,1,0,0
1,On Time,0,5,3,16,1052,16832,0,1,0,0,0,0,1,0,1
1,On Time,0,3,3,50,1486,74300,0,0,1,0,0,0,1,1,0
1,On Time,0,2,3,54,3001,162054,1,0,0,0,1,0,1,0,1
1,On Time,0,4,5,55,1386,76230,0,0,0,1,0,0,1,0,1
1,On Time,0,1,2,5,3778,18890,0,0,0,0,1,0,1,0,1
1,On Time,0,5,2,27,1233,33291,0,0,0,0,0,0,1,1,0
1,On Time,0,4,2,42,1415,59430,0,1,0,0,0,0,1,1,0
1,On Time,0,5,2,16,1092,17472,0,0,1,0,0,0,1,1,0
1,On Time,0,5,2,62,1596,98952,0,0,0,0,1,0,1,1,0
1,On Time,0,4,2,7,1411,9877,0,0,0,1,0,0,1,1,0
1,On Time,0,2,2,28,1968,55104,0,0,0,0,1,0,1,1,0
1,On Time,0,2,4,46,1736,79856,1,0,0,0,0,0,1,1,0
1,On Time,0,5,2,30,1030,30900,0,1,0,0,0,0,1,1,0
1,On Time,0,2,2,15,1339,20085,0,0,1,0,0,0,1,1,0
1,On Time,0,3,2,19,1568,29792,0,0,0,0,1,0,1,1,0
1,On Time,0,3,2,38,7640,290320,0,0,0,1,0,0,1,0,1
1,On Time,0,2,2,38,7846,298148,1,0,0,0,1,0,1,0,1
1,On Time,0,3,2,9,1471,13239,0,0,0,0,0,0,1,1,0
1,On Time,0,3,2,43,1251,53793,0,1,0,0,0,0,1,1,0
1,On Time,0,4,2,58,1067,61886,0,0,1,0,0,0,1,1,0
1,On Time,0,3,5,48,1883,90384,0,0,0,0,1,0,1,0,0
1,On Time,0,5,2,23,1602,36846,0,0,0,1,0,0,1,1,0
1,On Time,0,3,2,24,7588,182112,0,0,0,0,1,0,1,0,1
1,On Time,0,2,2,1,1477,1477,0,0,0,0,0,0,1,1,0
1,On Time,0,2,2,48,1691,81168,1,1,0,0,0,0,1,1,0
1,On Time,0,4,2,55,1498,82390,0,0,1,0,0,0,1,1,0
1,On Time,0,5,2,11,1502,16522,0,0,0,0,1,0,1,0,0
1,On Time,0,1,2,15,1522,22830,0,0,0,1,0,0,1,1,0
1,On Time,0,5,2,21,1113,23373,0,0,0,0,1,0,1,1,0
1,On Time,0,5,2,44,1341,59004,0,0,0,0,0,0,1,1,0
1,On Time,0,5,2,31,7401,229431,0,1,0,0,0,0,1,0,1
1,On Time,0,4,2,48,1219,58512,0,0,1,0,0,0,1,1,0
1,On Time,0,5,2,40,1722,68880,0,0,0,0,1,0,1,1,0
1,On Time,0,3,4,3,3131,9393,0,0,0,1,0,0,1,0,1
1,On Time,0,4,4,63,1293,81459,0,0,0,0,1,0,1,0,0
1,On Time,0,4,3,37,1523,56351,0,0,0,0,0,0,1,1,0
1,On Time,0,5,3,60,3885,233100,0,1,0,0,0,0,1,1,0
1,On Time,0,4,3,29,2381,69049,0,0,1,0,0,0,1,1,0
1,On Time,0,3,4,31,1588,49228,0,0,0,0,1,0,1,0,1
1,On Time,0,2,4,4,2061,8244,0,0,0,1,0,0,1,0,0
1,On Time,0,5,4,9,1314,11826,0,0,0,0,1,0,1,0,1
1,On Time,0,4,3,31,3331,103261,0,0,0,0,0,0,1,0,1
1,On Time,0,4,5,38,2771,105298,0,1,0,0,0,0,1,0,1
1,On Time,0,3,4,63,1496,94248,0,0,1,0,0,0,1,0,1
1,On Time,0,2,4,48,1393,66864,1,0,0,0,1,0,1,1,0
1,On Time,0,2,3,14,1375,19250,0,0,0,1,0,0,1,0,0
1,On Time,0,3,3,42,1278,53676,0,0,0,0,1,0,1,0,1
1,On Time,0,1,3,54,1528,82512,1,0,0,0,0,0,1,1,0
1,On Time,0,4,3,60,2240,134400,0,1,0,0,0,0,1,0,1
1,On Time,0,5,5,53,1088,57664,0,0,1,0,0,0,1,0,1
1,On Time,0,1,2,58,3626,210308,1,0,0,0,1,0,1,0,1
1,On Time,0,1,2,39,1582,61698,1,0,0,1,0,0,1,1,0
1,On Time,0,2,2,38,1352,51376,1,0,0,0,1,0,1,1,0
1,On Time,0,3,2,48,1801,86448,0,0,0,0,0,0,1,1,0
1,On Time,0,2,2,5,1268,6340,0,1,0,0,0,0,1,1,0
1,On Time,0,3,2,23,1372,31556,0,0,1,0,0,0,1,1,0
1,On Time,0,3,2,10,1515,15150,0,0,0,0,1,0,1,1,0
1,On Time,0,5,4,65,1818,118170,0,0,0,1,0,0,1,1,0
1,On Time,0,4,2,33,1278,42174,0,0,0,0,1,0,1,1,0
1,On Time,0,2,2,58,1734,100572,1,0,0,0,0,0,1,1,0
1,On Time,0,4,2,43,1958,84194,0,1,0,0,0,0,1,1,0
1,On Time,0,1,2,8,6064,48512,0,0,1,0,0,0,1,0,1
1,On Time,0,4,2,48,7684,368832,0,0,0,0,1,0,1,0,1
1,On Time,0,3,2,3,1788,5364,0,0,0,1,0,0,1,1,0
1,On Time,0,4,2,50,1030,51500,0,0,0,0,1,1,0,1,0
1,On Time,0,2,2,38,1530,58140,1,0,0,0,0,1,0,1,0
1,On Time,0,5,5,54,1511,81594,0,1,0,0,0,1,0,0,0
1,On Time,0,3,2,45,1639,73755,0,0,1,0,0,1,0,1,0
1,On Time,0,2,2,5,6102,30510,0,0,0,0,1,1,0,0,1
1,On Time,0,1,2,58,1930,111940,1,0,0,1,0,1,0,1,0
1,On Time,0,5,2,19,1399,26581,0,0,0,0,1,1,0,1,0
